Symbol,Name,Industry,Market Cap
BNFT,Benefitfocus,Software,323436126
BNGO,BioNano Genomics,Life Sciences Tools & Services,515511102
BNIX,Bannix Acquisition,Blank Check / SPAC,93014880
BNL,Broadstone Net Lease,Equity Real Estate Investment Trusts ...,3683881727
BNNR,Banner Acquisition,Blank Check / SPAC,197723500
BNOX,Bionomics,Biotechnology,69847970
BNR,Burning Rock Biotech,Diagnostics & Research,775746174
BNS,The Bank of Nova Scotia,Banks,86733889524
BNSO,Bonso Electronics International,"Electronic Equipment, Instruments & C...",19040184
BNTC,Benitec Biopharma,Biotechnology,19203469
BNTX,BioNTech SE,Biotechnology,32895004659
BOAC,Bluescape Opportunities Acquisition,Blank Check / SPAC,747225019
BOAS,BOA Acquisition,Blank Check / SPAC,283474970
BOC,Boston Omaha,Advertising Agencies,790569553
BOCN,Blue Ocean Acquisition,Blank Check / SPAC,234578941
BODY,The Beachbody Company,Internet Content & Information,657723646
BOH,Bank of Hawaii,Banks,3378518219
BOKF,BOK Financial,Banks,6904028640
BOLT,Bolt Biotherapeutics,Biotechnology,105888264
BON,Bon Natural Life,Packaged Foods,31981951
BOOM,DMC Global,Energy Equipment & Services,640362463
BOOT,Boot Barn Holdings,Specialty Retail,2600584177
BORR,Borr Drilling,Oil & Gas Drilling,491903166
BOSC,BOS Better Online Solutions,Communications Equipment,12830650
BOTJ,Bank of the James Financial Group,Banks,70872852
BOWL,Bowlero,Entertainment,1807472250
BOX,"Box, Inc.",Software,3746057974
BOXD,Boxed,Internet Retail,705769532
BOXL,Boxlight,"Technology Hardware, Storage & Periph...",70141607
BP,BP plc,"Oil, Gas & Consumable Fuels",93330866156
BPAC,Bullpen Parlay Acquisition Company,Blank Check / SPAC,284625000
BPMC,Blueprint Medicines,Biotechnology,3380519678
BPMP,BP Midstream Partners LP,"Oil, Gas & Consumable Fuels",1709206384
BPOP,Popular,Banks,6487743483
BPRN,The Bank of Princeton,Banks,190108506
BPT,BP Prudhoe Bay Royalty Trust,"Oil, Gas & Consumable Fuels",245458000
BPTH,Bio-Path Holdings,Biotechnology,22840907
BPTS,Biophytis,Biotechnology,32251750
BQ,Boqii Holding,Specialty Retail,47660704
BR,Broadridge Financial Solutions,IT Services,16885376956
BRAC,Broad Capital Acquisition,Blank Check / SPAC,135879725
BRAG,Bragg Gaming Group,Electronic Gaming & Multimedia,134902546
BRBR,Bellring Brands,Personal Products,953531308
BRBS,Blue Ridge Bankshares,Banks,289308850
BRC,Brady,Commercial Services & Supplies,2161200606
BRCC,BRC Inc.,Packaged Foods,723962871
BRCN,Burcon NutraScience,Packaged Foods,85213583
BRD,Beard Energy Transition Acquisition,Blank Check / SPAC,227711870
BRDG,Bridge Investment Group Holdings,Asset Management,2046965490
BRDS,Bird Global,Rental & Leasing Services,1102887036
BREZ,Breeze Holdings Acquisition,Blank Check / SPAC,150491239
BRFH,Barfresh Food Group,Food Products,87539396
BRFS,BRF S.A.,Food Products,3418449405
BRG,Bluerock Residential Growth REIT,Equity Real Estate Investment Trusts ...,902541888
BRID,Bridgford Foods,Food Products,95579019
BRIV,B. Riley Principal 250 Merger,Blank Check / SPAC,215419500
BRK.A,Berkshire Hathaway,Diversified Financial Services,7.23099E+11
BRK.B,Berkshire Hathaway,Diversified Financial Services,7.23102E+11
BRKH,BurTech Acquisition,Blank Check / SPAC,399796185
BRKL,Brookline Bancorp,Banks,1278724080
BRKR,Bruker,Life Sciences Tools & Services,9512267749
BRLI,Brilliant Acquisition,Blank Check / SPAC,63065520
BRLT,Brilliant Earth Group,Luxury Goods,73887466
BRMK,Broadmark Realty Capital,Mortgage Real Estate Investment Trust...,1092820475
BRN,Barnwell Industries,"Oil, Gas & Consumable Fuels",28247187
BRO,Brown & Brown,Insurance,17697765360
BROG,Brooge Energy,"Oil, Gas & Consumable Fuels",893142142
BROS,Dutch Bros,Restaurants,7982625676
BRP,BRP Group,Insurance,1437432174
BRPM,B. Riley Principal 150 Merger,Blank Check / SPAC,219058400
BRQS,Borqs Technologies,"Technology Hardware, Storage & Periph...",46424731
BRSP,BrightSpire Capital,REIT-Diversified,1144527229
BRT,BRT Apartments,Equity Real Estate Investment Trusts ...,417795924
BRTX,BioRestorative Therapies,Biotechnology,14670511
BRX,Brixmor Property Group,Equity Real Estate Investment Trusts ...,7407380478
BRY,Berry,"Oil, Gas & Consumable Fuels",795101561
BRZE,Braze,Software-Application,3226599147
BSAC,Banco Santander-Chile,Banks,9690835961
BSAQ,Black Spade Acquisition Co.,Blank Check / SPAC,203645000
BSBK,Bogota Financial,Thrifts & Mortgage Finance,151899269
BSBR,Banco Santander Brasil,Banks,47540678653
BSET,Bassett Furniture Industries,Household Durables,186873439
BSFC,Blue Star Foods,Packaged Foods,63159803
BSGA,Blue Safari Group Acquisition,Blank Check / SPAC,75676500
BSGM,BioSig Technologies,Health Care Equipment & Supplies,42372720
BSIG,BrightSphere Investment Group,Capital Markets,1038169848
BSKY,Big Sky Growth Partners,Blank Check / SPAC,363374970
BSM,Black Stone Minerals,"Oil, Gas & Consumable Fuels",2601427708
BSMX,Banco Santander Mexico,Banks,7386192030
BSQR,Bsquare,Software,33094332
BSRR,Sierra Bancorp,Banks,399310473
BSVN,Bank7,Banks,217441937
BSX,Boston Scientific,Health Care Equipment & Supplies,59494223833
BSY,Bentley Systems,Software-Application,10345097214
BTAI,BioXcel Therapeutics,Biotechnology,484618778
BTB,Bit Brother,Restaurants,30494863
BTBD,BT Brands,Restaurants,15087171
BTBT,Bit Digital,Software,213776671
BTCM,BIT Mining,Information Technology Services,185330350
BTCS,BTCS Inc.,Capital Markets,34319498
BTCY,Biotricity,Medical Devices,131240954
BTG,B2Gold,Metals & Mining,4807939581
BTI,British American Tobacco,Tobacco,93535076323
BTN,Ballantyne Strong,Entertainment,55206453
BTNB,Bridgetown 2 Holdings,Blank Check / SPAC,353567490
BTOG,China Xiangtai Food Co.,Packaged Foods,33526326
BTRS,BTRS Holdings,Software-Application,998399291
BTTR,Better Choice Company,Packaged Foods,73980491
BTTX,Better Therapeutics,Biotechnology,83778935
BTU,Peabody Energy,"Oil, Gas & Consumable Fuels",3075633140
BTWN,Bridgetown Holdings,Blank Check / SPAC,731842108
BTX,Brooklyn ImmunoTherapeutics,Biotechnology,100444526
BUD,Anheuser-Busch InBev,Beverages,1.14798E+11
BUR,Burford Capital,Asset Management,1980211963
BURL,Burlington Stores,Specialty Retail,13152724897
BUSE,First Busey,Banks,1487317113
BV,BrightView Holdings,Commercial Services & Supplies,1302816000
BVH,Bluegreen Vacations Holding,"Hotels, Restaurants & Leisure",654599550
BVN,Compania de Minas Buenaventura SAA,Metals & Mining,2768458234
BVS,Bioventus,Medical Devices,831892531
BVXV,BiondVax Pharmaceuticals,Pharmaceuticals,22356202
BW,Babcock & Wilcox Enterprises,Electrical Equipment,685492730
BWA,BorgWarner,Auto Components,8870833120
BWAC,Better World Acquisition,Blank Check / SPAC,164922368
BWAQ,Blue World Acquisition,Blank Check / SPAC,112673280
BWAY,Brainsway,Health Care Equipment & Supplies,125227116
BWB,Bridgewater Bancshares,Thrifts & Mortgage Finance,482061048
BWC,Blue Whale Acquisition I,Blank Check / SPAC,289463714
BWEN,Broadwind,Electrical Equipment,40738256
BWFG,Bankwell Financial Group,Banks,268363494
BWMN,Bowman Consulting Group,Consulting Services,198746064
BWMX,Betterware de Mexico,Internet & Direct Marketing Retail,675055485
BWV,Blue Water Vaccines,Biotechnology,686228483
BWXT,BWX Technologies,Aerospace & Defense,4807608282
BX,Blackstone,Capital Markets,1.40611E+11
BXC,BlueLinx Holdings,Trading Companies & Distributors,859482547
BXMT,Blackstone Mortgage Trust,Mortgage Real Estate Investment Trust...,5319582179
BXP,Boston Properties,Equity Real Estate Investment Trusts ...,19340085193
BXRX,Baudax Bio,Biotechnology,7765775
BY,Byline Bancorp,Banks,1036533752
BYD,Boyd Gaming,"Hotels, Restaurants & Leisure",7064585191
BYFC,Broadway Financial,Thrifts & Mortgage Finance,109805647
BYN,Banyan Acquisition,Blank Check / SPAC,269730000
BYND,Beyond Meat,Food Products,2459531226
BYNO,byNordic Acquisition,Blank Check / SPAC,207457500
BYRN,Byrna Technologies,Aerospace & Defense,225040466
BYSI,BeyondSpring,Biotechnology,72804679
BYTS,BYTE Acquisition,Blank Check / SPAC,403713238
BZ,Kanzhun,Staffing & Employment Services,7283915758
BZFD,BuzzFeed,Entertainment,599129982
BZH,Beazer Homes USA,Household Durables,509961688
BZUN,Baozun,Internet & Direct Marketing Retail,524415357
C,Citigroup,Banks,1.07285E+11
CAAP,Corporacion America Airports,Transportation Infrastructure,883366011
CAAS,China Automotive Systems,Auto Components,70959135
CABA,Cabaletta Bio,Biotechnology,49296984
CABO,Cable One,Media,8842298188
CAC,Camden National,Banks,750266000
CACC,Credit Acceptance,Consumer Finance,6638143464
CACI,CACI International,IT Services,7057256210
CADE,Cadence Bank,Banks,5503558140
CADL,Candel Therapeutics,Biotechnology,110455726
CAE,CAE Inc.,Aerospace & Defense,7690032106
CAG,Conagra Brands,Food Products,14438909950
CAH,Cardinal Health,Health Care Providers & Services,14565096402
CAJ,Canon,"Technology Hardware, Storage & Periph...",24458881003
CAKE,The Cheesecake Factory,"Hotels, Restaurants & Leisure",1808033399
CAL,Caleres,Specialty Retail,748466495
CALA,Calithera Biosciences,Biotechnology,35567419
CALB,California BanCorp,Banks,180140401
CALM,Cal-Maine Foods,Food Products,2117933566
CALT,Calliditas Therapeutics AB,Biotechnology,441370525
CALX,Calix,Communications Equipment,2802443498
CAMP,CalAmp,Communications Equipment,263891452
CAMT,Camtek,Semiconductors & Semiconductor Equipment,1301805554
CAN,Canaan,"Technology Hardware, Storage & Periph...",726823996
CANF,Can-Fite BioPharma,Biotechnology,26375755
CANG,Cango,Internet & Direct Marketing Retail,388237663
CANO,Cano Health,Diversified Financial Services,1068033149
CAPL,CrossAmerica Partners LP,"Oil, Gas & Consumable Fuels",761342714
CAPR,Capricor Therapeutics,Biotechnology,101093295
CAR,Avis Budget Group,Road & Rail,11183639376
CARA,Cara Therapeutics,Pharmaceuticals,646978239
CARE,Carter Bankshares,Banks,424480221
CARG,Cargurus,Interactive Media & Services,4872542715
CARR,Carrier Global,Building Products,36866961373
CARS,Cars.com,Interactive Media & Services,1007812728
CARV,Carver Bancorp,Thrifts & Mortgage Finance,25186452
CAS,Cascade Acquisition,Blank Check / SPAC,288937500
CASA,Casa Systems,Communications Equipment,352987615
CASH,Meta Financial Group,Thrifts & Mortgage Finance,1529807323
CASI,CASI Pharmaceuticals,Biotechnology,127215263
CASS,Cass Information Systems,IT Services,536018400
CASY,Casey's General Stores,Food & Staples Retailing,6466678700
CAT,Caterpillar,Machinery,1.15125E+11
CATC,Cambridge Bancorp,Banks,585049148
CATO,The Cato Corporation,Specialty Retail,368256311
CATY,Cathay General Bancorp,Banks,3407480296
CB,Chubb,Insurance,86059900822
CBAN,Colony Bankcorp,Banks,321875040
CBAT,CBAK Energy Technology,Electrical Equipment,105558951
CBAY,CymaBay Therapeutics,Pharmaceuticals,271787486
CBD,Companhia Brasileira de Distribuicao,Food & Staples Retailing,1215483775
CBFV,CB Financial Services,Banks,126255049
CBIO,Catalyst Biosciences,Biotechnology,20441431
CBL,CBL Properties,Equity Real Estate Investment Trusts ...,887660388
CBNK,Capital Bancorp,Banks,323646090
CBOE,Cboe Global Markets,Capital Markets,12165833782
CBRE,CBRE Group,Real Estate Management & Development,29101524934
CBRG,Chain Bridge I,Blank Check / SPAC,284912470
CBRL,Cracker Barrel Old Country Store,"Hotels, Restaurants & Leisure",2726708920
CBSH,Commerce Bancshares,Banks,8590331874
CBT,Cabot,Chemicals,3968998081
CBTX,"CBTX, Inc.",Banks,767539115
CBU,Community Bank System,Banks,3848618239
CBZ,"CBIZ, Inc.",Professional Services,2020243181
CC,The Chemours Company,Chemicals,4218074611
CCAI,Cascadia Acquisition,Blank Check / SPAC,182250000
CCAP,Crescent Capital BDC,Asset Management,542073852
CCB,Coastal Financial,Banks,625095766
CCBG,Capital City Bank Group,Banks,461491880
CCCC,C4 Therapeutics,Biotechnology,1139028093
CCCS,CCC Intelligent Solutions Holdings,Software-Infrastructure,6586637310
CCEL,Cryo-Cell International,Health Care Providers & Services,66662618
CCEP,Coca-Cola Europacific Partners,Beverages,20889016305
CCF,Chase,Chemicals,834911356
CCI,Crown Castle International,Equity Real Estate Investment Trusts ...,75045494617
CCJ,Cameco,"Oil, Gas & Consumable Fuels",10797615088
CCK,Crown Holdings,Containers & Packaging,15125531632
CCL,Carnival,"Hotels, Restaurants & Leisure",20159277046
CCLP,CSI Compressco LP,Energy Equipment & Services,206368910
CCM,Concord Medical Services Holding,Health Care Providers & Services,81624336
CCMP,CMC Materials,Semiconductors & Semiconductor Equipment,5168544736
CCNC,Code Chain New Continent,Coking Coal,41469387
CCNE,CNB Financial,Banks,450506349
CCO,Clear Channel Outdoor Holdings,Media,1715703167
CCOI,Cogent Communications Holdings,Diversified Telecommunication Services,3018984657
CCRD,CoreCard,Software,261899055
CCRN,Cross Country Healthcare,Health Care Providers & Services,726624559
CCS,Century Communities,Household Durables,2041419747
CCSI,Consensus Cloud Solutions,Software-Infrastructure,1123196892
CCTS,Cactus Acquisition 1,Blank Check / SPAC,156860000
CCU,"Compania Cervecerias Unidas,",Beverages,2564344060
CCV,Churchill Capital Corp V,Blank Check / SPAC,611249980
CCVI,Churchill Capital VI,Blank Check / SPAC,673440000
CCXI,ChemoCentryx,Biotechnology,1680338937
CD,Chindata Group Holdings,Information Technology Services,1723062523
CDAK,Codiak BioSciences,Biotechnology,101447493
CDAQ,Compass Digital Acquisition,Blank Check / SPAC,256213270
CDAY,Ceridian HCM Holding,Software,9332829122
CDE,Coeur Mining,Metals & Mining,1189067390
CDEV,Centennial Resource Development,"Oil, Gas & Consumable Fuels",2281328124
CDK,CDK Global,Software,5586946512
CDLX,Cardlytics,Media,1579833214
CDMO,Avid Bioservices,Biotechnology,1147211007
CDNA,CareDx,Biotechnology,1632112639
CDNS,Cadence Design Systems,Software,40188760049
CDR,Cedar Realty Trust,Equity Real Estate Investment Trusts ...,389588331
CDRE,Cadre Holdings,Aerospace & Defense,783941497
CDRO,Codere Online Luxembourg,Gambling,224256335
CDTX,Cidara Therapeutics,Biotechnology,49098571
CDW,CDW Corporation,"Electronic Equipment, Instruments & C...",22940479320
CDXC,ChromaDex,Life Sciences Tools & Services,157371055
CDXS,Codexis,Life Sciences Tools & Services,1184621562
CDZI,Cadiz,Water Utilities,79890847
CE,Celanese,Chemicals,14909081599
CEA,China Eastern Airlines,Airlines,13196979190
CECE,CECO Environmental,Commercial Services & Supplies,193369134
CEG,Constellation Energy,Utilities-Renewable,16111068134
CEI,Camber Energy,"Oil, Gas & Consumable Fuels",277719935
CEIX,CONSOL Energy,"Oil, Gas & Consumable Fuels",1147845858
CELC,Celcuity,Biotechnology,131435509
CELH,Celsius Holdings,Beverages,3381012948
CELP,Cypress Environmental Partners,Energy Equipment & Services,19746880
CELU,Celularity,Biotechnology,1230713982
CELZ,Creative Medical Technology Holdings,Biotechnology,9933939
CEMI,Chembio Diagnostics,Health Care Equipment & Supplies,21006765
CENN,Cenntro Electric Group,Auto Manufacturers,334407680
CENQ,CENAQ Energy,Blank Check / SPAC,217195707
CENT,Central Garden & Pet Company,Household Products,2261671913
CENTA,Central Garden & Pet Company,Household Products,2261672180
CENX,Century Aluminum Company,Metals & Mining,2184996843
CEPU,Central Puerto,Independent Power and Renewable Elect...,597960000
CEQP,Crestwood Equity Partners LP,"Oil, Gas & Consumable Fuels",2966776807
CERE,Cerevel Therapeutics Holdings,Biotechnology,4961194975
CERN,Cerner,Health Care Technology,27398330347
CERS,Cerus,Health Care Equipment & Supplies,906828798
CERT,Certara,Health Information Services,3027115509
CET,Central Securities,Asset Management,1105925224
CETX,Cemtrex,"Electronic Equipment, Instruments & C...",15107399
CEVA,"CEVA, Inc.",Semiconductors & Semiconductor Equipment,867365557
CF,CF Industries Holdings,Chemicals,19911645153
CFB,CrossFirst Bankshares,Banks,801335608
CFBK,CF Bankshares,Thrifts & Mortgage Finance,131695065
CFFE,CF Acquisition VIII,Blank Check / SPAC,319171579
CFFI,C&F Financial,Banks,177614000
CFFN,Capitol Federal Financial,Thrifts & Mortgage Finance,1539813374
CFFS,CF Acquisition VII,Blank Check / SPAC,220794250
CFG,Citizens Financial Group,Banks,19790065621
CFIV,CF Acquisition IV,Blank Check / SPAC,622300019
CFLT,Confluent,Software-Infrastructure,8483224057
CFMS,Conformis,Health Care Equipment & Supplies,122190607
CFR,Cullen/Frost Bankers,Banks,8834617253
CFRX,ContraFect,Biotechnology,128617925
CFSB,CFSB Bancorp,Banks-Regional,69651104
CFVI,CF Acquisition VI,Blank Check / SPAC,447322011
CFX,Colfax,Machinery,5928877536
CG,The Carlyle Group,Capital Markets,15132826606
CGA,China Green Agriculture,Chemicals,78680330
CGAU,Centerra Gold,Gold,3111898364
CGBD,TCG BDC,Capital Markets,758289918
CGC,Canopy Growth,Pharmaceuticals,2396559613
CGEM,Cullinan Oncology,Biotechnology,609398775
CGEN,Compugen,Life Sciences Tools & Services,274940256
CGNT,Cognyte Software,Software-Infrastructure,708965821
CGNX,Cognex,"Electronic Equipment, Instruments & C...",11464542192
CGRN,Capstone Green Energy,Specialty Industrial Machinery,61673428
CGTX,Cognition Therapeutics,Biotechnology,59277916
CHAA,Catcha Investment,Blank Check / SPAC,365624990
CHCI,Comstock Holding Companies,Household Durables,43684935
CHCO,City Holding Company,Banks,1200450912
CHCT,Community Healthcare Trust,Equity Real Estate Investment Trusts ...,1019977776
CHD,Church & Dwight Company,Household Products,23092144085
CHDN,Churchill Downs,"Hotels, Restaurants & Leisure",8177160555
CHE,Chemed,Health Care Providers & Services,7048388679
CHEF,The Chefs' Warehouse,Food & Staples Retailing,1079765221
CHEK,Check-Cap,Health Care Equipment & Supplies,38294843
CHGG,Chegg,Diversified Consumer Services,4054879209
CHH,Choice Hotels International,"Hotels, Restaurants & Leisure",7524978077
CHK,Chesapeake Energy,"Oil, Gas & Consumable Fuels",9549847544
CHKP,Check Point Software Technologies,Software,17816180619
CHMG,Chemung Financial,Banks,218179123
CHMI,Cherry Hill Mortgage Investment,Mortgage Real Estate Investment Trust...,140536542
CHNG,Change Healthcare,Health Care Technology,6682162165
CHNR,China Natural Resources,Metals & Mining,46271351
CHPM,CHP Merger,Shell Companies,265026639
CHPT,ChargePoint Holdings,Specialty Retail,5545214962
CHRA,Charah Solutions,Commercial Services & Supplies,167039005
CHRS,Coherus BioSciences,Biotechnology,952804412
CHRW,C.H. Robinson Worldwide,Air Freight & Logistics,13168409555
CHS,Chico's FAS,Specialty Retail,495069663
CHT,Chunghwa Telecom Co.,Diversified Telecommunication Services,33721636845
CHTR,Charter Communications,Media,96612302704
CHUY,Chuy's Holdings,"Hotels, Restaurants & Leisure",515803708
CHWA,CHW Acquisition,Blank Check / SPAC,155149384
CHWY,Chewy,Internet & Direct Marketing Retail,16401497058
CHX,ChampionX,Energy Equipment & Services,5141790206
CI,Cigna,Health Care Providers & Services,72811396899
CIA,Citizens,Insurance,211604525
CIAN,Cian PLC,Real Estate Services,234744160
CIB,Bancolombia,Banks,9113320413
CIDM,Cinedigm,Entertainment,117618231
CIEN,Ciena,Communications Equipment,8412544999
CIFR,Cipher Mining,Capital Markets,723002877
CIG,Companhia Energetica de Minas Gerais,Electric Utilities,4652467200
CIGI,Colliers International Group,Real Estate Management & Development,5572566990
CIH,China Index Holdings,Professional Services,84998743
CIIG,CIIG Capital Partners II,Blank Check / SPAC,354703134
CIM,Chimera Investment,Mortgage Real Estate Investment Trust...,2888469247
CINC,CinCor Pharma,Biotechnology,829348715
CINF,Cincinnati Financial,Insurance,19523213216
CING,Cingulate,Biotechnology,13458186
CINT,CI&T Inc.,Software-Infrastructure,1992223860
CIO,City Office REIT,Equity Real Estate Investment Trusts ...,746957942
CION,CĪON Investment,Asset Management,763242560
CIR,CIRCOR International,Machinery,489433280
CISO,Cerberus Cyber Sentinel,Software-Infrastructure,767556328
CITE,Cartica Acquisition,Blank Check / SPAC,286924990
CIVB,Civista Bancshares,Banks,364900183
CIVI,Civitas Resources,Oil & Gas E&P,4714863583
CIX,CompX International,Commercial Services & Supplies,278318136
CIXX,CI Financial,Asset Management,3104430833
CIZN,Citizens Holding Company,Banks,104240811
CJJD,China Jo-Jo Drugstores,Food & Staples Retailing,12725948
CKPT,Checkpoint Therapeutics,Biotechnology,150791583
CKX,CKX Lands,Real Estate Management & Development,21950238
CL,Colgate-Palmolive Company,Household Products,62002720752
CLAA,Colonnade Acquisition II,Blank Check / SPAC,402600000
CLAQ,CleanTech Acquisition,Blank Check / SPAC,215840614
CLAR,Clarus,Leisure Products,860608119
CLAS,Class Acceleration,Blank Check / SPAC,316322364
CLAY,Chavant Capital Acquisition,Blank Check / SPAC,99000000
CLB,Core Laboratories,Energy Equipment & Services,1470689384
CLBK,Columbia Financial,Thrifts & Mortgage Finance,2349555953
CLBR,Colombier Acquisition,Blank Check / SPAC,208725000
CLBS,Caladrius Biosciences,Biotechnology,40751955
CLBT,Cellebrite DI,Software-Infrastructure,1119820666
CLDT,Chatham Lodging Trust,Equity Real Estate Investment Trusts ...,685697590
CLDX,Celldex Therapeutics,Biotechnology,1456262631
CLEU,China Liberal Education Holdings,Education & Training Services,13192124
CLF,Cleveland-Cliffs,Metals & Mining,13587102703
CLFD,Clearfield,Communications Equipment,814740000
CLGN,CollPlant Biotechnologies,Biotechnology,96224400
CLH,Clean Harbors,Commercial Services & Supplies,5748976032
CLIM,Climate Real Impact Solutions II Acquisition,Blank Check / SPAC,295233720
CLIN,Clean Earth Acquisitions,Blank Check / SPAC,294501656
CLIR,ClearSign Technologies,"Electronic Equipment, Instruments & C...",45783315
CLLS,Cellectis,Biotechnology,200130924
CLMT,Calumet Specialty Products Partners,"Oil, Gas & Consumable Fuels",1191945975
CLNE,Clean Energy Fuels,"Oil, Gas & Consumable Fuels",1748881400
CLNN,Clene,Biotechnology,175720110
CLOE,Clover Leaf Capital,Blank Check / SPAC,181934134
CLOV,"Clover Health Investments,",Healthcare Plans,1462416511
CLPR,Clipper Realty,Equity Real Estate Investment Trusts ...,389053917
CLPS,CLPS Incorporation,IT Services,41738923
CLPT,ClearPoint Neuro,Health Care Equipment & Supplies,189328000
CLR,Continental Resources,"Oil, Gas & Consumable Fuels",21227642828
CLRB,Cellectar BioSciences,Biotechnology,30165711
CLRM,Clarim Acquisition,Blank Check / SPAC,351468730
CLRO,ClearOne,Communications Equipment,17413851
CLS,Celestica,"Electronic Equipment, Instruments & C...",1462307965
CLSD,Clearside Biomedical,Pharmaceuticals,114858006
CLSK,Cleanspark,Software,411788153
CLSN,Celsion,Biotechnology,29602865
CLST,Catalyst Bancorp,Banks-Regional,72578800
CLVR,Clever Leaves Holdings,Drug Manufacturers-Specialty & Generic,27447760
CLVS,Clovis Oncology,Biotechnology,224747087
CLVT,Clarivate,Professional Services,9769059314
CLW,Clearwater Paper,Paper & Forest Products,488255595
CLWT,Euro Tech Holdings Company,Trading Companies & Distributors,9819817
CLX,The Clorox Company,Household Products,16017229800
CLXT,Calyxt,Biotechnology,51689871
CM,Canadian Imperial Bank of Commerce,Banks,56221306872
CMA,Comerica,Banks,11540195248
CMAX,CareMax,Health Information Services,678306428
CMBM,Cambium Networks,Communications Equipment,600832048
CMC,Commercial Metals Company,Metals & Mining,4911476708
CMCA,Capitalworks Emerging Markets Acquisition,Blank Check / SPAC,285774970
CMCL,Caledonia Mining,Metals & Mining,174401815
CMCM,Cheetah Mobile,Software,123924247
CMCO,Columbus McKinnon,Machinery,1210722019
CMCSA,Comcast,Media,2.04086E+11
CMCT,CIM Commercial Trust,Equity Real Estate Investment Trusts ...,191160874
CME,CME Group,Capital Markets,81209581344
CMG,Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",41358544103
CMI,Cummins,Machinery,27814569806
CMLS,Cumulus Media,Media,219761219
CMMB,Chemomab Therapeutics,Biotechnology,47898895
CMP,Compass Minerals International,Metals & Mining,2088935247
CMPI,Checkmate Pharmaceuticals,Biotechnology,72246872
CMPO,CompoSecure,Shell Companies,112721500
CMPR,Cimpress,Commercial Services & Supplies,1562678724
CMPS,COMPASS Pathways,Health Care Providers & Services,510541748
CMPX,Compass Therapeutics,Biotechnology,149008039
CMRE,Costamare,Marine,1972177136
CMRX,Chimerix,Biotechnology,464727901
CMS,CMS Energy,Multi-Utilities,19112568808
CMT,Core Molding Technologies,Chemicals,82691944
CMTG,Claros Mortgage Trust,REIT-Mortgage,2293713407
CMTL,Comtech Telecommunications,Communications Equipment,419749847
CNA,CNA Financial,Insurance,12146296818
CNC,Centene,Health Care Providers & Services,48617607086
CNCE,Concert Pharmaceuticals,Biotechnology,96820638
CND,Concord Acquisition,Blank Check / SPAC,350757400
CNDA,Concord Acquisition II,Blank Check / SPAC,337517627
CNDB,Concord Acquisition III,Blank Check / SPAC,427800000
CNDT,Conduent,IT Services,930618750
CNET,ZW Data Action Technologies,Media,22793122
CNEY,CN Energy Group,Specialty Chemicals,39370675
CNF,CNFinance Holdings,Thrifts & Mortgage Finance,251010862
CNFR,Conifer Holdings,Insurance,23687080
CNGL,Canna-Global Acquisition,Blank Check / SPAC,294678710
CNHI,CNH Industrial,Machinery,20300517375
CNI,Canadian National Railway Company,Road & Rail,88948072439
CNK,Cinemark Holdings,Entertainment,1847649920
CNM,Core & Main,Industrial Distribution,3486132715
CNMD,CONMED,Health Care Equipment & Supplies,4061392331
CNNB,Cincinnati Bancorp,Banks-Regional,44940370
CNNE,Cannae Holdings,Diversified Financial Services,2074799092
CNO,CNO Financial Group,Insurance,2759073279
CNOB,ConnectOne Bancorp,Banks,1291548399
CNP,CenterPoint Energy,Multi-Utilities,17893230565
CNQ,Canadian Natural Resources,"Oil, Gas & Consumable Fuels",71322288084
CNR,Cornerstone Building Brands,Building Products,3077452275
CNS,Cohen & Steers,Capital Markets,3846328317
CNSL,Consolidated Communications Holdings,Diversified Telecommunication Services,630552188
CNSP,CNS Pharmaceuticals,Pharmaceuticals,13482946
CNTA,Centessa Pharmaceuticals,Biotechnology,725500222
CNTB,Connect Biopharma Holdings,Biotechnology,178773358
CNTG,Centogene,Biotechnology,97727032
CNTQ,Chardan NexTech Acquisition 2,Blank Check / SPAC,158915625
CNTX,Context Therapeutics,Pharmaceuticals,29058302
CNTY,Century Casinos,"Hotels, Restaurants & Leisure",333758807
CNVY,Convey Holding Parent,Health Information Services,383537597
CNX,CNX Resources,"Oil, Gas & Consumable Fuels",3707591661
CNXC,Concentrix,IT Services,10270468056
CNXN,PC Connection,"Electronic Equipment, Instruments & C...",1333601498
CO,Global Cord Blood,Health Care Providers & Services,478910943
COCO,The Vita Coco Company,Beverages-Non-Alcoholic,475024311
COCP,Cocrystal Pharma,Pharmaceuticals,49689595
CODA,Coda Octopus Group,"Electronic Equipment, Instruments & C...",71657520
CODI,Compass Diversified Holdings,Diversified Financial Services,1525128566
CODX,Co-Diagnostics,Health Care Equipment & Supplies,152507323
COE,China Online Education Group,Diversified Consumer Services,25590117
COF,Capital One Financial,Consumer Finance,53813157798
COFS,ChoiceOne Financial Services,Banks,193521832
COGT,Cogent Biosciences,Biotechnology,231534298
COHN,Cohen & Company,Capital Markets,27854973
COHR,Coherent,"Electronic Equipment, Instruments & C...",6397601166
COHU,"Cohu, Inc.",Semiconductors & Semiconductor Equipment,1376783730
COIN,Coinbase Global,Software-Application,41922334600
COKE,Coca-Cola Consolidated,Beverages,4222378660
COLB,Columbia Banking System,Banks,2769256685
COLD,Americold Realty Trust,Equity Real Estate Investment Trusts ...,6996348923
COLI,Colicity,Blank Check / SPAC,420468730
